7zip 25.01-1
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.10-1
go 2:1.25.3-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
google-chrome 142.0.7444.59-1
gparted 1.7.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
gptfdisk 1.0.10-1
granite7 7.6.0-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14rc1-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.1-1
gssdp 1.6.4-1
gst-libav 1.26.7-1
gst-plugins-bad 1.26.7-1
gst-plugins-bad-libs 1.26.7-1
gst-plugins-base 1.26.7-1
gst-plugins-base-libs 1.26.7-1
gst-plugins-good 1.26.7-1
gstreamer 1.26.7-1
gtest 1.17.0-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.20.2-3
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.2-3
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
guile 3.0.10-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gzip 1.14-2
harfbuzz 12.1.0-1
harfbuzz-icu 12.1.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hivex 1.3.24-5
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.400-1
hwloc 2.12.2-1
hyphen 2.8.8-6
hyprcursor 0.1.13-2
hyprgraphics 0.2.0-2
hyprland 0.51.1-6
hyprland-qt-support 0.1.0-9
hyprland-qtutils 0.1.5-4
hyprlang 0.6.4-3
hyprpaper 0.7.6-1
hyprpicker 0.4.5-7
hyprshade 4.0.0-1
hyprutils 0.10.0-1
hyprwayland-scanner 0.4.5-1
iana-etc 20250612-1
ibus 1.5.32-1
icu 76.1-1
iio-hyprland-git r85.801c472-1
iio-sensor-proxy 3.8-1
imagemagick 7.1.2.8-1
imath 3.2.2-2
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-2
inkscape 1.4.2-10
iproute2 6.17.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.18.0-1
iwd 3.10-1
jack2 1.9.22-1
jansson 2.14.1-1
jasper 4.2.8-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jfsutils 1.1.15-9
jq 1.8.1-1
js128 128.14.0-1
js140 140.4.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kactivitymanagerd 6.5.1-1
karchive 6.19.0-1
karchive5 5.116.0-2
kauth 6.19.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.19.0-1
kbookmarks5 5.116.0-2
kcmutils 6.19.0-1
kcodecs 6.19.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.19.0-1
kcompletion 6.19.0-1
kcompletion5 5.116.0-2
kconfig 6.19.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.19.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.19.0-1
kcoreaddons5 5.116.0-2
kcrash 6.19.0-1
kcrash5 5.116.0-2
kdbusaddons 6.19.0-1
kdbusaddons5 5.116.0-2
kde-cli-tools 6.5.1-1
kdeclarative 6.19.0-1
kdecoration 6.5.1-1
kded 6.19.0-1
kded5 5.116.0-2
kdesu 6.19.0-1
kdnssd 6.19.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
kernel-headers-musl 4.19.88-3
keyutils 1.6.3-3
kfilemetadata 6.19.0-1
kglobalaccel 6.19.0-1
kglobalaccel5 5.116.0-2
kglobalacceld 6.5.1-1
kguiaddons 6.19.0-1
kguiaddons5 5.116.0-2
kholidays 1:6.19.0-1
ki18n 6.19.0-1
ki18n5 5.116.0-2
kiconthemes 6.19.0-1
kiconthemes5 5.116.0-2
kidletime 6.19.0-1
kio 6.19.0-2
kio-extras 25.08.2-2
kio-fuse 5.1.1-1
kio5 5.116.0-4
kirigami 6.19.0-1
kirigami-addons 1.10.0-1
kitemmodels 6.19.0-1
kitemviews 6.19.0-1
kitemviews5 5.116.0-2
kitty-shell-integration 0.43.1-1
kitty-terminfo 0.43.1-1
kjobwidgets 6.19.0-1
kjobwidgets5 5.116.0-2
kmod 34.2-1
knewstuff 6.19.0-1
knighttime 6.5.1-1
knotifications 6.19.0-1
knotifications5 5.116.0-3
knotifyconfig 6.19.0-1
kpackage 6.19.0-1
kparts 6.19.0-1
kpipewire 6.5.1-1
kpty 6.19.0-1
kquickcharts 6.19.0-1
krb5 1.21.3-2
krunner 6.19.0-1
kscreenlocker 6.5.1-1
kservice 6.19.0-1
kservice5 5.116.0-3
kstatusnotifieritem 6.19.0-1
ksvg 6.19.0-1
ksystemstats 6.5.1-1
ktexteditor 6.19.0-1
ktextwidgets 6.19.0-1
ktextwidgets5 5.116.0-2
kunitconversion 6.19.0-1
kuserfeedback 6.19.0-1
kvantum 1.1.5-1
kwallet 6.19.0-1
kwallet5 5.116.0-5
kwayland 6.5.1-2
kwidgetsaddons 6.19.0-1
kwidgetsaddons5 5.116.0-2
kwin 6.5.1-1
kwindowsystem 6.19.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.19.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
lame 3.100-6
lapack 3.12.1-2
layer-shell-qt 6.5.1-1
lazygit-git 0.52.0.r15.ef6f96bda-1
lazygit-git-debug 0.52.0.r15.ef6f96bda-1
lcms2 2.17-1
ldb 2:4.23.2-1
leancrypto 1.6.0-1
lensfun 1:0.3.4-5
leptonica 1.86.0-1
less 1:685-1
lib2geom 1.4-2
lib32-alsa-lib 1.2.14-2
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.16.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.3-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-gcc-libs 15.2.1+r22+gc4e96a094636-1
lib32-glib2 2.86.1-1
lib32-glibc 2.42+r17+gd7274d718e6f-1
lib32-harfbuzz 12.1.0-1
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.77-1
lib32-libdrm 2.4.127-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.56-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.12.0-1
lib32-libnm 1.54.1-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.9-1
lib32-libpng 1.6.50-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.5-2
lib32-libxml2 2.15.1-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.4-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.2.6-1
lib32-ncurses 6.5-2
lib32-nspr 4.37-1
lib32-nss 3.117-1
lib32-openssl 1:3.6.0-1
lib32-p11-kit 0.25.10-2
lib32-pam 1.7.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.9-1
lib32-spirv-tools 1:1.4.328.1-1
lib32-sqlite 3.50.4-1
lib32-systemd 258.1-1
lib32-util-linux 2.41.2-1
lib32-vulkan-icd-loader 1.4.328.1-1
lib32-vulkan-mesa-device-select 1:25.2.6-1
lib32-vulkan-radeon 1:25.2.6-1
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-5
libadwaita 1:1.8.1-1
libaio 0.3.113-3
libappindicator 12.10.1-1
libarchive 3.8.2-1
libart-lgpl 2.3.21-5
libart-lgpl-debug 2.3.21-5
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic_ops 7.8.2-1
libavc1394 0.5.4-7
libavif 1.3.0-3
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.4.0-1
libblockdev-crypto 3.4.0-1
libblockdev-fs 3.4.0-1
libblockdev-loop 3.4.0-1
libblockdev-mdraid 3.4.0-1
libblockdev-nvme 3.4.0-1
libblockdev-part 3.4.0-1
libblockdev-swap 3.4.0-1
libbluray 1.4.0-2
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.8.5-3
libcbor 0.12.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcloudproviders 0.3.6-2
libcmis 0.6.2-6
libcolord 1.4.8-1
libconfig 1.8.1-1
libcue 2.3.0-1
libcups 2:2.4.14-1
libcurl-gnutls 8.16.0-1
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-2
libdecor 0.2.4-1
libdeflate 1.24-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.3.2-1
libdrm 2.4.127-1
libdv 1.0.0-11
libdvdnav 7.0.0-1
libdvdread 7.0.0-1
libe-book 0.1.3-18
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.194-1
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.13-1
libevdev 1.13.5-1
libevent 2.1.12-4
libewf 20140816-1
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.3.1-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libfyaml 0.9-1
libgcrypt 1.11.2-1
libgdm 49.1-2
libgee 0.20.8-1
libgexiv2 0.14.6-1
libgirepository 1.86.0-1
libglade 2.6.4-9.5
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnomecanvas 2.30.3-4
libgnomecanvas-debug 2.30.3-4
libgpg-error 1.56-1
libgsf 1.14.53-2
libgtop 2.41.3-2
